File,Text,Initial Label,Turks Label
clip_366,Tyler's just going to write the whole script himself.,2,4
clip_367,Tyler is just going to write the whole script himself,2,4
clip_368,Tyler is just going to write the whole script himself.,2,4
clip_369,we should all just walk there instead,2,4
clip_37,oh boy,1,3
clip_370,we should all just walk there instead,2,4
clip_371,We should just all walk there instead.,2,4
clip_372,What time is it?,2,4
clip_373,What time is it?,2,4
clip_374,what time is it,2,4
clip_375,"Yeah, I haven't talked to George in weeks.",2,4
clip_376,Yeah right!,2,1
clip_377,Yeah right.,2,3
clip_378,"Yeah, right.",2,3
clip_379,Yeah right,2,3
clip_38,Oh boy,1,1
clip_380,"Yeah, she really likes my idea said it was the best one ever.",2,4
clip_381,Yeah.  She really likes my idea.  Said it was the best one ever.,2,4
clip_382,"Oh yea, she would really liked my idea. Said it was the best one ever.",2,4
clip_383,"Yeah, she really likes my idea. Said it was the best one ever",2,4
clip_384,"Yes, you should totally try out.",2,4
clip_385,yes you should totally try out,2,4
clip_386,yes you should totally try out,2,4
clip_387,Yes you should totally try out.,2,3
clip_388,you could make it to the nba,2,4
clip_389,You could make it to the NBA,2,4
clip_39,Oh boy!,1,4
clip_390,You could make it to the NBA.,2,4
clip_391,You know what? I think you should give it another shot?,2,4
clip_392,You sure know a lot.,2,3
clip_393,You want me to hit you?,2,4
clip_394,you want me to hit you,2,4
clip_395,You want me to hit you,2,1
clip_396,You want me to hit you?,2,4
clip_397,Could I take a quick look at the code?,2,4
clip_398,Arthur made some great points. I think I've changed my mind,2,4
clip_399,The band is going to have to break up now,2,2
clip_40,Going outside today is like traveling through the arctic circle,1,99
clip_400,Did you hear that? I finally get closure.,2,1
clip_401,Darren wants to do the full marathon not just the half.,2,4
clip_402,Please don't get up!,2,4
clip_403,All of the Lights is Kanye's best song.,2,4
clip_404,nah its all good i don't need any assistance,2,4
clip_405,No problem.,2,4
clip_406,So true.,2,4
clip_407,did you get the assignment done in time,2,4
clip_408,The traffic moved along at a decent pace so I was still on time,2,4
clip_409,I can see how that could be a problem.,3,2
clip_41,going outside today is like traveling in the arctic circle,1,4
clip_410,I'm so lucky to have you as a friend.,3,1
clip_411,"Yeah, I haven't seen George in weeks.",3,4
clip_412,Its a nice cool day.,3,4
clip_413,The other team was unbelievable. I'll be surprised if they don't win.,3,4
clip_414,Steph is just way ahead of the curve on this one.,3,4
clip_415,Like Francis has had a chance to listen to the tape yet.,3,4
clip_416,Like my nose could pick that up.,3,3
clip_417,There's no point is there,3,1
clip_418,Thanks for holding the door.,3,4
clip_419,for sure,3,3
clip_42,It was like watching paint dry,1,9
clip_420,Is water wet,3,1
clip_421,"ok, great",3,3
clip_422,I suppose,3,4
clip_423,Oh boy.,3,1
clip_424,you sure know a lot,3,3
clip_425,Since youre so enthusiastic can you present the plan to the principal,3,3
clip_426,You know what? I think you should give it another shot.,3,3
clip_427,"If Alice is so brilliant, she'll be perfect for our plan.",3,4
clip_428,bethany said my plan sounded fantastic,3,3
clip_429,Like Devin is paying any attention at all,3,3
clip_43,It was like watching paint dry,1,3
clip_4,"If Alice is so brilliant, then she will be perfect for our plan",1,3
clip_430,Like she knows what day of the week it is!,3,3
clip_431,do birds fly,3,3
clip_432,It's a nice cool day.,3,3
clip_433,it's a nice cool day,3,3
clip_434,It's a nice cool day.,3,4
clip_435,The other team was unbelievable. I'd be surprised if they don't win.,3,3
clip_436,"The other team was unbelievable, I'd be surprised if they don't win.",3,3
clip_437,The other team was unbelievable. I'll be surprised if they don't win.,3,4
clip_438,Steph is just way ahead of the curve on this one.,3,3
clip_439,Steph is just way ahead of the curve on this one.,3,3
clip_44,It was like watching paint dry.,1,99
clip_440,Steph is just way ahead of the curve on this one,3,3
clip_441,Like Frances has had the chance to listen to the tape yet.,3,3
clip_442,I can see how that would be a problem.,3,3
clip_443,Like Frances has had a chance to listen to the tape yet.,3,3
clip_444,Like Frances has had the chance to listen to the tape yet,3,3
clip_445,Like my nose could pick that up?,3,1
clip_446,Like my nose could pick that up.,3,3
clip_447,Like my nose could pick that up.,3,3
clip_448,"There's no point, is there?",3,4
clip_449,"There's no point, is there?",3,3
clip_45,Thanks for holding the door.,1,3
clip_450,There's no point is there?,3,4
clip_451,Can fish swim?,3,3
clip_452,can fish swim,3,3
clip_453,I can see how that would be a problem.,3,4
clip_454,Can fish swim?,3,3
clip_455,For sure,3,3
clip_456,For sure,3,3
clip_457,for sure,3,4
clip_458,Ok great,3,3
clip_459,Okay great,3,3
clip_46,"Oh yeah, just a slight breeze.",1,1
clip_460,Ok great.,3,3
clip_461,I could see how that would be a problem,3,4
clip_462,I am so lucky to have you as a friend,3,3
clip_463,I'm so lucky to have you as a friend.,3,3
clip_464,I'm so lucky to have you as a friend,3,3
clip_465,yeah I haven't talked to George in weeks,3,3
clip_466,Yeah I haven't talked to George in weeks.,3,4
clip_467,Yeah I haven't talked to George in weeks,3,1
clip_468,Are you stupid?,3,3
clip_469,Are you stupid,3,3
clip_47,Oh yeah! Just a slight breeze.,1,1
clip_470,Are you stupid?,3,4
clip_471,Can fish swim?,3,3
clip_472,Did I need a response,3,3
clip_473,Did I need a response,3,3
clip_474,for sure,3,4
clip_475,harden is a great defensive player,3,3
clip_476,Harden is a great defensive player.,3,3
clip_477,Harden is a great defensive player.,3,3
clip_478,"Oh Houston will, for sure, make the finals this year.",3,1
clip_479,Houston will for sure make the finals this year,3,1
clip_48,"Oh yea, just a slight breeze.",1,1
clip_480,Houston will for sure make the final this year,3,4
clip_481,I am so lucky to have you as a friend,3,3
clip_482,I could see how that would be a problem.,3,3
clip_483,I really appreciate all of your wonderful help,3,4
clip_484,I really appreciate all of your wonderful help.,3,4
clip_485,I saw the sheet and I'm thrilled about the changes,3,4
clip_486,If he knows what's going on and he'll have no problems with this.,3,3
clip_487,"If he knows what is going on, he'll have no problem with this.",3,3
clip_488,If he knows what is going on he'll have no problem with this,3,3
clip_489,Is that so?,3,2
clip_49,just a quick little detour,1,1
clip_490,Is that so?,3,3
clip_491,Is that so?,3,3
clip_492,It's a nice cool day.,3,2
clip_493,Like Frances has had a chance to listen to the tape yet.,3,3
clip_494,Like he's getting up before 6:30,3,3
clip_495,Like hes getting up before six thirty,3,3
clip_496,Like I would know.,3,3
clip_497,Like I would know,3,3
clip_498,Like I would know.,3,3
clip_499,Like I've seen the Star Wars movies.,3,2
clip_5,Bethany said that my plan sounds fantastic.,1,4
clip_50,Just a quick little detour.,1,1
clip_500,Like I've seen the Star Wars movies,3,1
clip_501,Like my nose could pick that up.,3,3
clip_502,Like the government  doesn't waste any money at all.,3,3
clip_503,Like the government doesn't waste any money at all.,3,3
clip_504,Is water wet,3,3
clip_505,I suppose.,3,3
clip_506,Oh boy!,3,1
clip_507,Thanks for holding the door.,3,3
clip_508,You sure know a lot,3,3
clip_509,"Since your so enthusiastic,  can you present the plan to the principal?",3,3
clip_51,Just a quick little detour.,1,1
clip_510,You know what I think? You should give it another shot.,3,3
clip_511,If Alice is so brilliant then she'll be perfect for our plan,3,3
clip_512,Bethany said that my plan sounds fanstastic.,3,99
clip_513,Like Devon is paying any attention at all.,3,3
clip_514,Like she knows what day of the week it is,3,3
clip_515,Do birds fly?,3,3
clip_516,You can make it to the NBA,3,99
clip_517,"No, don't worry. You smell great.",3,3
clip_518,No don't worry - you sound great.,3,3
clip_519,"No, don't worry, you smell great.",3,3
clip_52,Thanks for holding the door.,1,3
clip_520,No it's great you should be very proud,3,3
clip_521,"No, it's great. You should be very proud.",3,3
clip_522,"If he knows what is going on,  he'll have no problem with this.",3,4
clip_523,ugh of course,3,3
clip_524,Of Course,3,3
clip_525,Of course.,3,3
clip_526,Okay. Great.,3,3
clip_527,Really?,3,1
clip_528,Really,3,3
clip_529,Really?,3,3
clip_53,You sure know a lot.,1,1
clip_530,did i need a response,3,3
clip_531,But who's counting?,3,1
clip_532,No problem,3,3
clip_533,So true,3,3
clip_534,Nah it's all good I don't need any assistance,3,3
clip_535,"Please, don't get up.",3,3
clip_536,Did you hear that? I finally get closure!,3,4
clip_537,The band is going to have to break up now.,3,1
clip_538,Darren wants to do the full marathon not just the half,3,1
clip_539,Arthur made some great points I think I have changed my mind.,3,1
clip_54,You sure know a lot.,1,3
clip_540,like the Dean will ever find out,3,3
clip_541,Like Diane can see us from that distance,3,3
clip_542,How are you even alive?,3,1
clip_543,Bethany said that my plan sounds fantastic,3,4
clip_544,Do birds fly,3,3
clip_545,"Since you're so enthusiastic, can you show the plans to the principal?",3,3
clip_546,I suppose.,3,3
clip_547,If Alice is so brilliant then she'll be perfect for our plan.,3,3
clip_548,Is water wet?,3,3
clip_549,Like Devin is paying any attention at all.,3,3
clip_55,You sure know a lot.,1,3
clip_550,Like she know what day of the week it is,3,3
clip_551,Oh boy!,3,3
clip_552,thanks for holding the door,3,3
clip_553,You know what? I think you should give it another shot.,3,4
clip_554,You sure know a lot.,3,3
clip_555,Are you stupid,3,3
clip_556,why did you even get up,3,3
clip_557,Houston will for sure make the finals this year.,3,3
clip_558,I really appreciate all the wonderful help,3,4
clip_559,I saw the sheet and I am thrilled about the changes,3,3
clip_56,since you are so enthusiastic  can you present the plan to the principal,1,3
clip_560,"yes, she really likes my idea said it was the best one ever",3,3
clip_561,like i've seen the Star Wars movies,3,3
clip_562,Like the government doesn't waste any money at all.,3,3
clip_563,"No, don't worry, you smell great.",3,4
clip_564,Of course.,3,4
clip_565,Yeah she really likes my idea said is was the best one ever.,3,3
clip_566,Yes you should totally try out,3,3
clip_567,"Yeah, right.",3,3
clip_568,Yeah it's all good. I don't need any assistance.,3,3
clip_569,Nah its all good I don't need any assistance,3,4
clip_57,Since youre so enthusiastic can you present the plan to the principal,1,3
clip_570,But who's counting?,3,1
clip_571,But who's counting?,3,1
clip_572,No problem,3,3
clip_573,No problem.,3,4
clip_574,So true,3,3
clip_575,so true,3,4
clip_576,Please don't get up.,3,3
clip_577,"Please, don't get up",3,3
clip_578,The band is going to have to break up now,3,1
clip_579,The band is going to have to break up now.,3,4
clip_58,"Since you're so enthusiastic, can you present the plan to the principal?",1,4
clip_580,Darren wants to do the full narration not just the half,3,1
clip_581,"Daren wants to do the full marathon, not just the half",3,4
clip_582,Did you hear that? I finally get closure.,3,3
clip_583,Did you hear that I finally get closure,3,4
clip_584,"Arthur made some great points, I think I changed my mind",3,3
clip_585,Arthur made some great points I think Ive changed my mind,3,4
clip_586,like the dean will ever find out,3,3
clip_587,Like the Dean will ever find out.,3,3
clip_588,Like Diane can see us from that distance,3,3
clip_589,like diane can see us from that distance,3,3
clip_59,Arthur made some great points. I think I've changed my mind.,1,3
clip_590,How are you even alive?,3,1
clip_591,How are you even alive?,3,1
clip_592,"Yes, she really likes my idea. Said it was the best one ever.",3,4
clip_593,I saw the sheet and I'm thrilled about the changes,3,4
clip_594,Like he's getting up before six thirty.,3,3
clip_595,Steph is just way ahead of the curve on this one,3,3
clip_596,The other team is unbelievable. I'll be surprised if they don't win.,3,3
clip_597,There's no point is there,3,4
clip_598,Tyler is just going to write the whole script himself.,3,3
clip_599,Tyler's just going to write the whole script himself,3,3
clip_6,I suppose.,1,4
clip_60,Arthur made some great points I think I've changed my mind,1,3
clip_600,Tyler is just going to write the whole script himself.,3,3
clip_601,"No it's great, you should be very proud.",3,3
clip_602,we should all just walk there instead,3,4
clip_603,We should all just walk there instead,3,3
clip_604,We should all just walk there instead,3,3
clip_605,Why do you even get up?,3,4
clip_606,Why did you even get up?,3,3
clip_607,Yeah I haven't seen talked to George in weeks,3,4
clip_608,yeah right,3,3
clip_609,Yeah right,3,3
clip_61,Arthur made some great points. I think I changed my mind.,1,4
clip_610,Yeah she really likes my idea said is was the best one ever.,3,3
clip_611,"Yeah, she really likes my idea. Said it was the best one ever.",3,3
clip_612,Yes you should totally try out,3,3
clip_613,"Yes, you should totally try out",3,3
clip_614,You could make it to the NBA,3,4
clip_615,You could make it to the NBA,3,3
clip_616,You want me to hit you.,3,3
clip_617,You want me to hit you,3,3
clip_618,You want me to hit you?,3,3
clip_619,you could make it to the nba,4,4
clip_62,Bethany said that my plan sounds fantastic.,1,4
clip_620,Why don't we try something else,4,4
clip_621,I prefer the morning shifts to the ones in the afternoon,4,4
clip_622,Like you said we need to be careful.,4,4
clip_623,Harden is a great defensive player.,4,4
clip_624,We should all just walk there instead,4,4
clip_625,Tyler is going to write the whole script himself,4,4
clip_626,If he knows what is going on he will have no problem with this,4,4
clip_627,"No, it's great. you should be very proud",4,4
clip_628,Is that so?,4,4
clip_629,really,4,4
clip_63,Did you hear that? I finally get closure.,1,1
clip_630,Do you know what this means?,4,4
clip_631,Houston will for sure make the finals this year.,4,4
clip_632,Houston will for sure make the finals this year,4,4
clip_633,Houston will for sure make the finals this year.,4,4
clip_634,"yeah, she really likes my idea",4,4
clip_635,Yeah she really likes my idea.,4,4
clip_636,"Yeah,  she really likes my idea.",4,4
clip_637,I saw the sheet and I'm thrilled about the changes,4,4
clip_638,I saw the sheet and I am thrilled about the changes,4,4
clip_639,I saw the sheet and I'm thrilled about the changes,4,4
clip_64,I just waited a couple of minutes.,1,4
clip_640,Yeah right.,4,4
clip_641,I really appreciate all of your wonderful help,4,4
clip_642,Yeah right,4,4
clip_643,Yeah right,4,3
clip_644,course?,4,4
clip_645,Of course.,4,4
clip_646,Of course.,4,4
clip_647,Of course,4,4
clip_648,Is it likely that you will be here next week,4,4
clip_649,Is it likely that you will be here next week?,4,2
clip_65,"Darin wants to do the FULL marathon, not just the half.",1,3
clip_650,Is it likely that you'll be here next week?,4,4
clip_651,Am I saying that right,4,4
clip_652,I really appreciate all of your wonderful help.,4,4
clip_653,Am I saying that right?,4,4
clip_654,Am I saying that right?,4,4
clip_655,Took a quick walk around campus to clear my mind.,4,4
clip_656,Took a quick walk around campus to clear my mind,4,2
clip_657,Took a quick walk around campus to clear my mind.,4,2
clip_658,"Don't just stand there, come and help",4,4
clip_659,Don't just stand there.  Come and help.,4,4
clip_66,Darren wants to do the full marathon not just the half,1,3
clip_660,"Don't just stand there, come and help.",4,4
clip_661,I really appreciate all of you wonderful help,4,4
clip_662,no don't worry you smell great,4,4
clip_663,No don't worry you smell great,4,4
clip_664,No dont worry you sell great,4,4
clip_665,"Yes, you should totally try out.",4,3
clip_666,Yes you should totally try out.,4,4
clip_667,You should totally try out.,4,4
clip_668,"""Am I saying that right?""",4,4
clip_669,Are you planning on picking up another copy,4,4
clip_67,Did you hear that? I finally get closure.,1,3
clip_670,Are you planning on picking up another copy,4,2
clip_671,Are you planning on picking up another copy?,4,4
clip_672,Arthur made some good points I think I've changed my mind,4,4
clip_673,Arthur made some great points I think I've changed my mind,4,4
clip_674,Do you know what this means?,4,4
clip_675,if he knows whats going on he'll have no problem with this,4,4
clip_676,"No, it's great you should be very proud.",4,4
clip_677,We all should just walk there instead.,4,3
clip_678,Like you said we need to be careful,4,4
clip_679,hardon is a great defensive player,4,4
clip_68,did you hear that I finally get closure,1,4
clip_680,Really?,4,4
