File	Text	Initial Label - 2	Initial label - 4	Turks Label	UCDCC label - 2	UCDCC label w/ turk label's formatting	UCDCC label - 4	index
clip_1095	"Decided I'd go to bed early for once. I've been laying here since 2 am, yet the total amount of sleep I've had all week is 10 hours."	1	2	1	1	2	1	539
clip_1096	"More people are in prison because of drug related crimes. But you know, gun crime is up."	1	2	1	0	1	0	560
clip_1097	"My entire career has been devote to being the boss and beating corruption, but I get beat in a corrupt election."	1	2	1	1	2	1	571
clip_1098	"Just walked into Starbucks, and asked for a tall blonde."	1	2	1	1	2	3	2
clip_1099	The definition of irony would be if a 77 year old rapper went viral and took Bitcoin mainstream.  Maybe the only way Baby Boomers will buy in.	1	2	1	1	2	1	22
clip_1100	"Being a hipster now is so mainstream, oh the irony."	1	2	1	1	2	3	32
clip_1101	180 dean on 26/11 and more than 10K are killed in terror attacks til date but not one Paki shows simpathy to them.	1	2	1	0	1	0	48
clip_1102	rangers league game was below a move because the petro fact cup find in april	1	2	0	0	1	0	51
clip_1103	Painting all cops with a broad brush because of the actions of a few is the same logic racists use.	1	2	1	1	2	1	63
clip_1104	So there used to be a crossfit place here	1	2	2	1	2	1	151
clip_1105	So there used to be a crossfit place here.	1	2	2	1	2	1	151
clip_1106	"So, there used to be a crossfit place here."	1	2	1	1	2	1	151
clip_1107	Stupid doctors visits is going to bury me. Oh the irony.	1	2	1	1	2	1	41
clip_1108	Sub is making life go by so slow that I feel like I'm losing brain cells	1	2	1	1	2	1	359
clip_1109	That moment when the ad plays flawlessly but the video keeps buffering	1	2	1	1	2	1	393
clip_1110	that time when ward was mad that sky held a secret from him	1	2	2	0	1	0	247
clip_1111	That time when Ward was mad because Sky hid a secret from him.	1	2	0	0	1	0	247
clip_1112	The definition of irony would be if a 77-year-old rapper went viral and made Bit Coin main stream.	1	2	1	1	2	1	22
clip_1113	The irony is anti state people will claim the middle man hacker won when in reality the state won.	1	2	1	1	2	1	414
clip_1114	"The song was, 'Don't Cry for Me, Argentina'."	1	2	2	0	1	0	372
clip_1115	"We were miles apart, but you found me, and now we are living close enough, still apart."	1	2	1	0	1	0	457
clip_1116	You think my mom and I would get along better. She's a middle child too.	1	2	0	1	2	1	245
clip_1117	Welcome to the surrealist estate agency.	0	0	2	1	2	1	428
clip_1118	Fucking car just gave up.	0	0	0	1	2	1	430
clip_1119	"We don't have a good enough singles depth at the moment, to even account for doubles, the problem has never been doubles, always singles."	0	0	2	1	2	1	445
clip_1120	You're a tough bugger	0	0	2	0	1	1	472
clip_1121	uh oh mum is not gonna be pleased	0	0	0	1	2	1	483
clip_1122	The ones that caught me by surprise were the ones I didn't expect.	0	0	2	1	2	1	506
clip_1123	"Something like that irony, is one of the few things keeping sanity when facing Russian propaganda."	0	0	0	1	2	1	525
clip_1124	a tits in public who doesn't agree with seeing tits in public	0	0	1	1	2	2	630
clip_1125	A tit in public who doesn't agree with seeing tits in public.	0	0	1	1	2	2	630
clip_1126	Acronyms because we're cool as fuck. Judge me.	0	0	0	0	1	1	270
clip_1127	And that somebody thought you were padawon sister.	0	0	2	1	2	1	216
clip_1128	can always count on you to speak to me on here but deletes messages so it looks like I am talking to myself	0	0	1	1	2	1	209
clip_1129	"Can always count on you to speak to me on here, then delete the messages, so it looks like I am talking to myself."	0	0	1	1	2	1	209
clip_1130	Can holidays last forever?	0	0	2	1	2	1	249
clip_1131	Can holidays last forever?	0	0	2	1	2	1	249
clip_1132	Corny jokes are my absolute favorite.	0	0	0	1	2	1	6
clip_1133	"Day 9, December 10th I painted the boars head not really still in bed."	0	0	2	1	2	1	202
clip_1134	"Day 9, December 10th I painted the boars head not really still in bed."	0	0	2	1	2	1	202
clip_1135	"Equal justice for all, unless you are black, during the Obama administration."	0	0	1	1	2	2	621
clip_1136	"Equal justice for all, unless you are black, during the Obama administration."	0	0	1	1	2	2	621
clip_1137	Getting Final Jeopardy correct on Kid's Jeopardy boosts my self esteem.	0	0	0	1	2	1	72
clip_1138	"I thought it was, what I call, the wet look."	0	0	2	1	2	1	410
clip_1139	Wonder how many people who visit food banks have huge TVs or are drunks?	0	0	1	1	2	3	374
clip_1140	Just lost a fiver already on the kick off. Cheers forrest	0	0	1	1	2	3	676
clip_1141	Just lost the fiver already on the early kick off.  Cheers Forrest	0	0	1	1	2	3	676
clip_1142	Just realized my last final is tomorrow.	0	0	2	1	2	1	187
clip_1143	Andy forgot to move the elf on the shelf and now tam is asking me if Christmas is real.	0	0	0	1	2	2	97
clip_1144	Most important thing I've learned in school.	0	0	2	1	2	1	11
clip_1145	Obama and Hilary convinced Ukraine that they would protect them if they essentially disarm. Need to keep at least one promise.	0	0	2	1	2	1	231
clip_1146	"Obama and Hillary convinced the Ukraine, that they would protect them if they essentially disarm. We need to keep at least one promise!"	0	0	1	1	2	1	231
clip_1147	"OLD ENOUGH TO KNOW BETTER, YOUNG ENOUGH TO DO IT AGAIN"	0	0	1	1	2	3	705
clip_1148	"Old enough to know better, young enough to do it again."	0	0	0	1	2	3	705
clip_1149	"Once again, Barack Obama is rewriting history"	0	0	2	1	2	1	217
clip_1150	Once again Barack Obama is rewriting history.	0	0	2	1	2	1	217
clip_1151	Only a true night shift person would understand this.	0	0	2	1	2	1	271
clip_1152	Only a true night shift person would understand this.	0	0	2	1	2	1	271
clip_1153	"Orion launch underway, yeah!"	0	0	2	1	2	1	12
clip_1154	And that somebody thought you were Padowan's sister.	0	0	1	1	2	1	216
clip_1155	Please note sarcasm in last tweet before you kill yourself many good pros including BalancePhysio can show you best usage	0	0	1	1	2	3	134
clip_1156	Protesters upset over decision in choke hold death take the streets again. Mexico streets aren't the only ones taken.	0	0	0	1	2	2	771
clip_1157	Protesters upset over decision in choke hold. Death take the streets again. Mexico streets aren't the only one taken.	0	0	0	1	2	2	771
clip_1158	what might do it for me bro turns into an hour long conversation	0	0	0	1	2	3	356
clip_1159	"ya, amazing night. ill think he out till the death, i'll let you know"	0	0	0	1	2	3	369
clip_1160	I wonder how many people who visit food banks have huge TV's or are drunks.	0	0	1	1	2	3	374
clip_1161	What is religion it is a culture created by a fool	0	0	0	1	2	1	375
clip_1162	The feeling you get when you just want to flip the table and screw the finals.	0	0	2	1	2	1	385
clip_1163	"I thought it was, what I call, the wet look."	0	0	2	1	2	1	410
clip_1164	When your mate's dad starts poking you on Facebook.	0	0	1	1	2	1	413
clip_1165	Welcome to the Surrealist Estate Agency.	0	0	0	1	2	1	428
clip_1166	The fuckin' car just gave up!	0	0	2	1	2	1	430
clip_1167	"We don't have a good enough single step at the moment to even account for the doubles.  The problem has never been doubles, only singles."	0	0	2	1	2	1	445
clip_1168	You're a tough bugger.	0	0	2	0	1	1	472
clip_1169	"Oh, oh mom is not going to be pleased."	0	0	0	1	2	1	483
clip_1170	The ones that caught me by surprise were the ones I didn't expect.	0	0	0	1	2	1	506
clip_1171	"Ummm, yeah, something like that's. Irony is one of the few things keeping sanity when facing the RU propaganda."	0	0	0	1	2	1	525
clip_1172	Corny jokes are my absolute favorite.	0	0	2	1	2	1	6
clip_1173	Most important thing I've ever learned in school.	0	0	0	1	2	1	11
clip_1174	Orion launch underway. Yeah.	0	0	0	1	2	1	12
clip_1175	"The girls on Sorority Sisters thought they'd get rich and famous, but instead they be like"	0	0	2	1	2	1	35
clip_1176	I wonder what was the holiday rituals for true Africans?	0	0	0	1	2	1	53
clip_1177	Getting final Jeopardy correct on kids Jeopardy boosts my self esteem.	0	0	0	1	2	1	72
clip_1178	"Woke up, showered, made a lunch, and got ready for work only to realize I have the whole weekend off."	0	0	1	1	2	2	74
clip_1179	"So, I may have had a few empties to recycle."	0	0	0	1	2	3	350
clip_1180	How much did it cost to build medicare? I see this way too often.	0	0	2	1	2	1	348
clip_1181	Name an excuse that people use not to work out	0	0	2	1	2	1	309
clip_1182	tag a team mate who is bad he runs the line every week	0	0	2	1	2	3	289
clip_1183	50 kilometers into the ruffasta 500 and we stop off for a coffee toes are coming back to life	0	0	0	1	2	1	23
clip_1184	"Warn them, that your degree of sarcasm depends on them, in this funny tank top. Order now."	0	0	2	1	2	1	317
clip_1185	you really need to get a wee bit more lol	0	0	2	1	2	3	324
clip_1186	"Tag a teammate that is so bad, he runs the line every week."	0	0	0	1	2	3	289
clip_1187	Name an excuse that people use to not work out.	0	0	2	1	2	1	309
clip_1188	You're degree of sarcasm depends on this funny tank top. Order now.	0	0	0	1	2	1	317
clip_1189	50 kilometers into the raffa fest of 500 and we stop off for coffee. Toes are coming back to life.	0	0	0	1	2	1	23
clip_1190	"You do really need to get a wee bit more, LOL."	0	0	0	1	2	3	324
clip_1191	How much did it cost to build Medicare?  I see this way too often.	0	0	0	1	2	1	348
clip_1192	So I may have had a few empties to recycle	0	0	2	1	2	3	350
clip_1193	Someone tell me where the fuck to find a fried chicken ornament because this shit is necessary.	0	0	0	1	2	1	546
clip_1194	Hey sorry I'm late I didn't want to come	0	0	1	1	2	1	549
clip_1195	"Pit players versus victims? How dare the NFL put a divide between men, and the women and children they beat?"	0	0	1	1	2	1	578
clip_1196	"Hmm, I wouldn't say she has tits."	0	0	0	1	2	1	580
clip_1197	That awkward moment when you plan your whole day around your golf class and it gets cancelled.	0	0	0	1	2	1	588
clip_1198	Everybody's talking about snow and I'm just sitting here and the only snow around is on our cars!	0	0	1	1	2	1	603
clip_1199	Things also go slowly if you are waiting for them especially	0	0	0	1	2	1	613
clip_1200	"Everybody is talking about snow. And I am just sitting here, and the only snow around, is on our cars."	0	0	1	1	2	1	603
clip_1201	"Hey, sorry I'm late. I didn't want to come."	0	0	1	1	2	1	549
clip_1202	"Hmmn, I don't want to say she has tits."	0	0	0	1	2	1	580
clip_1203	"Pit players versus victims? How dare the NFL put a divide between men and the women, and the children they beat?"	0	0	1	1	2	1	578
clip_1204	Someone tell me where to find a fried chicken ornament because this shit is necessary.	0	0	0	1	2	1	546
clip_1205	"That awkward moment when you plan your whole day around your golf class, and it gets canceled!"	0	0	1	1	2	1	588
clip_1206	"Things also go slowly , when you are waiting for them especially."	0	0	0	1	2	1	613
clip_1207	SOMEONE HAS FILLED MY HEAD WITH SNOT AND USED THE CHEESE GRATER ON THE BACK OF MY THROAT DURING THE NIGHT	0	0	0	1	2	1	647
clip_1208	Somebody has filled my head with snot and I used a cheese grater on the back of my throat during the night.	0	0	1	1	2	1	647
clip_1209	the girls on sorority sister thought they would get rich and famous instead they be like	0	0	1	1	2	1	35
clip_1210	Start with India. I need to be somewhere they don't speak great English so I don't have to say much.	0	0	0	1	2	1	635
clip_1211	"Start with India, I need to be somewhere where they don't speak great English, so I don't have to say much."	0	0	1	1	2	1	635
clip_1212	Take me to church.	0	0	2	1	2	1	138
clip_1213	Take me to church	0	0	2	1	2	1	138
clip_1214	Take me to church.	0	0	0	1	2	1	138
clip_1215	the feeling you get when you want to flip the tables and screw the finals	0	0	0	1	2	1	385
clip_1216	"To be fair, you didn't use the mandatory sarcasm hashtag."	0	0	0	1	2	1	128
clip_1217	"To be fair, you didn't use the mandatory sarcasm hashtag"	0	0	1	1	2	1	128
clip_1218	I wonder what the holiday ritual is for true Africans.	0	0	0	1	2	1	53
clip_1219	"Woke up, showered, made lunch and got ready for work only to realize I have the whole weekend off."	0	0	1	1	2	2	74
clip_1220	What is religion? It is a culture that has been invented by a fool who wanted to do everything that is not legal legally.	0	0	0	1	2	1	375
clip_1221	When I start singing songs from one smaller feeling to myself while I work.	0	0	2	1	2	2	152
clip_1222	When make dua for me bro turns into an hour long conversation	0	0	0	1	2	3	356
clip_1223	When your mates dad starts poking you on Facebook.	0	0	0	1	2	1	413
clip_1224	"Yeah amazing night, I think he out till the death! I'll let u know"	0	0	0	1	2	3	369
clip_1225	Day 9th December to have a pint at the boar's head not really still in bed.	0	0	2	1	2	1	202
clip_1226	just realized my last final is tomorrow	0	0	2	1	2	1	187
clip_1227	AMY FORGOT TO MOVE THE ELF ON SHELF AND NOW TIM IS ASKING ME IF CHRISTMAS IS REAL	0	0	0	1	2	2	97
clip_1228	Please note sarcasm in last tweet before you kill yourself.  Many good pros including balanced physio can show you best usage.	0	0	0	1	2	3	134
clip_1229	Take me to church.	0	0	2	1	2	1	138
clip_1230	"To be fair, you didn't use the mandatory sarcasm hashtag."	0	0	1	1	2	1	128
clip_1231	When I start singing songs from 'once more with feeling' to myself at work.	0	0	2	1	2	2	152
clip_825	Pulled a 'white van man' by the looks of it.  Yuck!  So naff!  That keeps the magic of Christmas alive.	1	1	1	0	1	0	674
clip_826	That's some bullshit. That's a complete rip off for those items. And I bet some of you idiots really think that is a good sale. Not.	1	1	1	0	1	0	690
clip_827	Monday morning inspiration	1	1	0	1	2	3	706
clip_828	An important call from the council about a form we did three months ago is just what I need an hour before we head off to Disneyland. Not.	1	1	1	0	1	0	626
clip_829	"can't wait to have an afternoon schedule because of you, gonna be so much fun not"	1	1	1	0	1	0	47
clip_830	How dare Charles Barkley have an intelligent conversation about race!	1	1	1	1	2	3	28
clip_831	How dare Charles Barkley have an intelligent conversation about race	1	1	1	1	2	3	28
clip_832	"Can't wait to have an afternoon scheduled because of you, it's going to be so much fun, not."	1	1	1	0	1	0	47
clip_833	"Since the tribunal was established fourteen years ago, no complaint against the intelligent services has ever been  upheld."	1	1	2	0	1	0	87
clip_834	When you're sick and you feel bad for yourselves cause your cells are fighting hard for you.	1	1	0	0	1	0	182
clip_835	"An important call from the council about a form we did three months ago, is just what I need an hour before we head to DisneyLand. Not"	1	1	1	0	1	0	626
clip_836	"Pulled by a white van man by the looks of it. Yuck, so naf. That keeps imaginative x alive. Not."	1	1	1	0	1	0	674
clip_837	That's some bullshit. That's a complete ripoff for those ads and I bet some of you idiots think that's a really good sale. Not!	1	1	1	0	1	0	690
clip_838	Monday morning inspiration!	1	1	2	1	2	3	726
clip_839	"Final lab coursework submitted, now to finally treat myself by catching up with the whole semesters lectures."	1	1	1	0	1	0	559
clip_840	"Here we go again, thanks to all that claim to cover benzewelle high school hoop. North Highlanders beat Parkersburg 66-65 on last second shot by Alexa Paige."	1	1	0	0	1	0	293
clip_841	Here we go again. Thanks to all that claimed to cover WVHS hoop. Not highlanders beat Parkersburg on the last second shot by Alexia Paige.	1	1	1	0	1	0	293
clip_842	I think my friend just sent Frankie ballard a snapchat of me drinking water... cause she's fun like that.	1	1	0	0	1	0	752
clip_843	I think my friend just sent frankie a snapchat of me drinking water cause she is fun like that.	1	1	1	0	1	0	752
clip_844	I'm shocked that Mark May doesn't think that Bart Keys should be in the playoff.	1	1	2	0	1	0	473
clip_845	"It's a shame that on an off day that  the NFL doesn't have any interesting stories and isn't getting any attention, not."	1	1	1	0	1	0	484
clip_846	"Gael pro at presentations, Anderson not."	1	1	0	0	1	0	513
clip_847	"Loving how dominate the SEC is, not!"	1	1	1	0	1	0	516
clip_848	"Gail pro at presentations. Anderson, not!"	1	1	1	0	1	0	513
clip_849	"Loving how dominate the SEC is, not!"	1	1	1	0	1	0	516
clip_850	I'm shocked the Mark May doesn't think the buckeyes should be in the playoff.	1	1	0	0	1	0	473
clip_851	"It's a shame on an off day that the NFL doesn't have any interesting stories, and isn't getting any attention. Not!"	1	1	1	0	1	0	484
clip_852	"Almost seventy two hours of a kid asking for his Christmas Gift., and zero answers from Playstation. Thank you guys, you are awesome! Not!"	1	1	1	1	2	3	726
clip_853	Hooray to working all weekend.	1	1	1	0	1	0	730
clip_854	"Congress just screwed us, but it's a great day in the district, because we got another stadium"	1	1	1	0	1	0	720
clip_855	"Almost 72 hours of a kid asking for his Christmas gift and zero answers from PlayStation, thank you guys are awesome, not."	1	1	1	1	2	3	726
clip_856	"Congress just screwed us. But it's a great day in the district, because we got another stadium."	1	1	1	0	1	0	720
clip_857	Hooray to working all weekend.	1	1	1	1	2	3	726
clip_858	It's ok ticketmaster I didn't really want to see my idol anyway.	1	1	1	0	1	0	768
clip_859	"It's ok Ticketmaster, I didn't really want to see my idol anyway."	1	1	1	0	1	0	768
clip_860	Malala is fake and planted by the U.S. cuz Pakistan is perfectly safe for kids going to school.	1	1	1	0	1	0	405
clip_861	"pretty shitty day, i am going to be soaked and full of mud and clay"	1	1	1	0	1	0	391
clip_862	Rolled out of bed for closing. I look really good. Not.	1	1	1	1	2	3	756
clip_863	Rolled out of bed for closing I look really good not	1	1	1	1	2	3	756
clip_864	"I like the feeling when people think they're two steps ahead of me but truth is, they're miles and miles behind me"	1	1	1	1	2	1	431
clip_865	"Yeah I do. But you know there's this thing called an all nighter, and apparently I want to pull one. Not."	1	1	1	0	1	0	584
clip_866	What a lovely perma-fall we're having here in Milwaukee.  Not.	1	1	1	1	2	3	615
clip_867	Clash update. Not..	1	1	1	0	1	0	304
clip_868	When you're sick and you feel bad for your cells because they're fighting hard for you....	1	1	0	0	1	0	182
clip_869	"So ill, it actually hurts to breathe. Still that nice long walk to the station did me the world of good. NOT"	1	1	1	0	1	0	419
clip_870	"So ill, it actually hurts to breathe. Still that nice long walk to the station did me the world of good. NOT"	1	1	1	0	1	0	419
clip_871	"So Jeremy Irons, and Alan Rickman are both in Marakech? Just one week before I'm going there? Everything's fine. Not!"	1	1	1	0	1	0	423
clip_872	"So, Jeremy Irons and Alan Rigmond are both in Marakech, just one week before I'm going there.  Everything is fine.  NOT"	1	1	1	0	1	0	423
clip_873	That's always a solution.  Not.  Doesn't fix anything!	1	1	1	0	1	0	308
clip_874	"That's always a solution, not. Doesn't fix anything."	1	1	1	0	1	0	308
clip_875	That's always the solution not doesn't fix anything	1	1	1	0	1	0	308
clip_876	"Since the tribunal was established fourteen years ago, no complaint against the intelligence services have ever been upheld."	1	1	2	0	1	0	87
clip_877	Tried to export an azure vm. Well that went ok.	1	1	1	0	1	0	622
clip_878	What a great Christmas.	1	1	2	0	1	0	367
clip_879	What a great Christmas	1	1	2	0	1	0	367
